txn_id,timestamp,customer_id,account_id,amount,currency,txn_type,counterparty,counterparty_country,channel
c_cust_048_shop_0_1,2026-02-04 16:00,cust_048,acct_1048,41.73,USD,payment,Superstore Retail,AU,online
c_cust_038_rent_0,2026-02-04 17:00,cust_038,acct_1038,1180.69,USD,payment,City Rentals,AU,online
c_cust_052_shop_0_1,2026-02-04 17:00,cust_052,acct_1052,102.1,USD,payment,Grocery Mart,SE,mobile
c_cust_061_rent_0,2026-02-04 18:00,cust_061,acct_1061,1680.41,USD,payment,Parkview Apartments,PH,online
c_cust_068_shop_0_0,2026-02-04 19:00,cust_068,acct_1068,117.38,USD,payment,Grocery Mart,GB,online
c_cust_043_rent_0,2026-02-04 20:00,cust_043,acct_1043,1289.17,USD,payment,Home Realty Trust,IN,online
c_cust_066_rent_0,2026-02-04 20:00,cust_066,acct_1066,1486.98,USD,payment,City Rentals,MX,online
c_cust_027_shop_0_1,2026-02-05 09:00,cust_027,acct_1027,59.73,USD,payment,Online Marketplace,DE,mobile
c_cust_040_rent_0,2026-02-05 10:00,cust_040,acct_1040,2082.63,USD,payment,Metro Landlord LLC,NG,online
c_cust_060_rent_0,2026-02-05 10:00,cust_060,acct_1060,987.9,USD,payment,Home Realty Trust,AE,online
c_cust_020_rent_0,2026-02-05 11:00,cust_020,acct_1020,2921.83,USD,payment,Home Realty Trust,IN,online
c_cust_040_shop_0_1,2026-02-05 12:00,cust_040,acct_1040,125.81,USD,payment,Superstore Retail,NG,online
c_cust_055_rent_0,2026-02-05 12:00,cust_055,acct_1055,2582.42,USD,payment,Parkview Apartments,AE,online
c_cust_027_rent_0,2026-02-05 13:00,cust_027,acct_1027,2577.08,USD,payment,Metro Landlord LLC,DE,online
c_cust_058_rent_0,2026-02-05 14:00,cust_058,acct_1058,1791.9,USD,payment,City Rentals,IN,online
c_cust_062_cash_0,2026-02-05 14:00,cust_062,acct_1062,295.68,USD,cash_withdrawal,Self,JP,branch
c_cust_025_rent_0,2026-02-05 16:00,cust_025,acct_1025,1683.15,USD,payment,Parkview Apartments,GB,online
c_cust_033_rent_0,2026-02-05 16:00,cust_033,acct_1033,1401.72,USD,payment,Parkview Apartments,AE,online
c_cust_041_rent_0,2026-02-05 16:00,cust_041,acct_1041,3101.96,USD,payment,Home Realty Trust,NG,online
c_cust_051_rent_0,2026-02-05 16:00,cust_051,acct_1051,2537.14,USD,payment,Metro Landlord LLC,IT,online
c_cust_065_rent_0,2026-02-05 16:00,cust_065,acct_1065,611.71,USD,payment,City Rentals,NL,online
c_cust_035_shop_0_2,2026-02-05 17:00,cust_035,acct_1035,113.2,USD,payment,Home Goods Co,DE,mobile
c_cust_046_rent_0,2026-02-05 20:00,cust_046,acct_1046,1704.54,USD,payment,Metro Landlord LLC,NL,online
c_cust_063_rent_0,2026-02-05 20:00,cust_063,acct_1063,755.05,USD,payment,Metro Landlord LLC,GB,online
c_cust_057_shop_0_1,2026-02-05 21:00,cust_057,acct_1057,65.69,USD,payment,Grocery Mart,FR,online
c_cust_060_shop_0_1,2026-02-05 21:00,cust_060,acct_1060,99.52,USD,payment,Superstore Retail,AE,mobile
c_cust_030_rent_0,2026-02-06 08:00,cust_030,acct_1030,1710.22,USD,payment,Metro Landlord LLC,CA,online
c_cust_033_util_0_0,2026-02-06 08:00,cust_033,acct_1033,108.74,USD,payment,Regional Electric Board,AE,mobile
c_cust_043_util_0_1,2026-02-06 09:00,cust_043,acct_1043,182.64,USD,payment,Metro Water Authority,IN,online
c_cust_044_rent_0,2026-02-06 09:00,cust_044,acct_1044,1148.29,USD,payment,City Rentals,AE,online
c_cust_052_rent_0,2026-02-06 09:00,cust_052,acct_1052,1487.35,USD,payment,Parkview Apartments,SE,online
c_cust_027_util_0_1,2026-02-06 10:00,cust_027,acct_1027,194.16,USD,payment,Mobile Telecom,DE,online
c_cust_045_rent_0,2026-02-06 10:00,cust_045,acct_1045,884.02,USD,payment,Metro Landlord LLC,CA,online
c_cust_048_shop_0_0,2026-02-06 10:00,cust_048,acct_1048,21.44,USD,payment,Online Marketplace,AU,online
c_cust_015_util_0_1,2026-02-06 11:00,cust_015,acct_1015,248.73,USD,payment,Mobile Telecom,NG,mobile
c_cust_038_cash_0,2026-02-06 12:00,cust_038,acct_1038,345.97,USD,cash_withdrawal,Self,AU,branch
c_cust_068_rent_0,2026-02-06 13:00,cust_068,acct_1068,2803.09,USD,payment,Metro Landlord LLC,GB,online
c_cust_042_rent_0,2026-02-06 14:00,cust_042,acct_1042,969.66,USD,payment,Metro Landlord LLC,US,online
c_cust_048_rent_0,2026-02-06 14:00,cust_048,acct_1048,1348.83,USD,payment,City Rentals,AU,online
c_cust_029_rent_0,2026-02-06 16:00,cust_029,acct_1029,860.6,USD,payment,Home Realty Trust,AE,online
c_cust_056_shop_0_3,2026-02-06 16:00,cust_056,acct_1056,27.54,USD,payment,Corner Pharmacy,MX,online
c_cust_064_shop_0_3,2026-02-06 16:00,cust_064,acct_1064,62.49,USD,payment,Grocery Mart,AU,online
c_cust_028_rent_0,2026-02-06 17:00,cust_028,acct_1028,779.06,USD,payment,Parkview Apartments,KE,online
c_cust_053_rent_0,2026-02-06 17:00,cust_053,acct_1053,1336.85,USD,payment,Metro Landlord LLC,KE,online
c_cust_042_shop_0_1,2026-02-06 18:00,cust_042,acct_1042,170.55,USD,payment,Corner Pharmacy,US,mobile
c_cust_054_rent_0,2026-02-06 18:00,cust_054,acct_1054,2979.13,USD,payment,Home Realty Trust,KE,online
c_cust_029_util_0_0,2026-02-06 20:00,cust_029,acct_1029,201.53,USD,payment,National Broadband Co,AE,mobile
c_cust_033_shop_0_1,2026-02-06 20:00,cust_033,acct_1033,154.44,USD,payment,Corner Pharmacy,AE,online
c_cust_044_shop_0_3,2026-02-06 20:00,cust_044,acct_1044,172.84,USD,payment,Superstore Retail,AE,mobile
c_cust_047_shop_0_0,2026-02-06 20:00,cust_047,acct_1047,144.16,USD,payment,Home Goods Co,PH,mobile
c_cust_056_rent_0,2026-02-06 20:00,cust_056,acct_1056,3373.51,USD,payment,Home Realty Trust,MX,online
c_cust_062_shop_0_3,2026-02-06 20:00,cust_062,acct_1062,169.62,USD,payment,Corner Pharmacy,JP,mobile
c_cust_040_util_0_1,2026-02-06 21:00,cust_040,acct_1040,161.98,USD,payment,Regional Electric Board,NG,branch
c_cust_042_util_0_0,2026-02-06 21:00,cust_042,acct_1042,43.55,USD,payment,Gas & Power Ltd,US,online
c_cust_028_util_0_0,2026-02-07 09:00,cust_028,acct_1028,123.3,USD,payment,Regional Electric Board,KE,branch
c_cust_044_util_0_0,2026-02-07 12:00,cust_044,acct_1044,203.3,USD,payment,Regional Electric Board,AE,online
c_cust_058_util_0_0,2026-02-07 12:00,cust_058,acct_1058,149.34,USD,payment,Mobile Telecom,IN,branch
c_cust_017_shop_0_1,2026-02-07 14:00,cust_017,acct_1017,45.19,USD,payment,Online Marketplace,GB,mobile
c_cust_068_util_0_0,2026-02-07 14:00,cust_068,acct_1068,37.05,USD,payment,Gas & Power Ltd,GB,mobile
c_cust_063_util_0_1,2026-02-07 15:00,cust_063,acct_1063,247.88,USD,payment,Metro Water Authority,GB,online
c_cust_019_shop_0_2,2026-02-07 16:00,cust_019,acct_1019,175.03,USD,payment,Online Marketplace,IN,online
c_cust_053_shop_0_1,2026-02-07 16:00,cust_053,acct_1053,172.42,USD,payment,Online Marketplace,KE,mobile
c_cust_022_cash_0,2026-02-07 18:00,cust_022,acct_1022,266.75,USD,cash_withdrawal,Self,SG,branch
c_cust_027_util_0_0,2026-02-07 18:00,cust_027,acct_1027,114.19,USD,payment,Metro Water Authority,DE,online
c_cust_041_shop_0_2,2026-02-07 20:00,cust_041,acct_1041,111.58,USD,payment,Corner Pharmacy,NG,online
c_cust_055_util_0_0,2026-02-07 20:00,cust_055,acct_1055,148.76,USD,payment,Metro Water Authority,AE,online
c_cust_068_shop_0_3,2026-02-07 20:00,cust_068,acct_1068,153.57,USD,payment,Grocery Mart,GB,mobile
c_cust_017_util_0_1,2026-02-08 10:00,cust_017,acct_1017,91.88,USD,payment,City Utilities,GB,mobile
c_cust_030_util_0_0,2026-02-08 10:00,cust_030,acct_1030,112.43,USD,payment,Regional Electric Board,CA,online
c_cust_020_util_0_0,2026-02-08 11:00,cust_020,acct_1020,84.17,USD,payment,Metro Water Authority,IN,branch
c_cust_022_shop_0_1,2026-02-08 11:00,cust_022,acct_1022,164.08,USD,payment,Grocery Mart,SG,online
c_cust_038_util_0_1,2026-02-08 11:00,cust_038,acct_1038,197.11,USD,payment,Mobile Telecom,AU,branch
c_cust_028_shop_0_0,2026-02-08 12:00,cust_028,acct_1028,39.29,USD,payment,Home Goods Co,KE,mobile
c_cust_039_util_0_0,2026-02-08 13:00,cust_039,acct_1039,68.51,USD,payment,Metro Water Authority,KE,branch
c_cust_052_util_0_1,2026-02-08 13:00,cust_052,acct_1052,31.11,USD,payment,National Broadband Co,SE,branch
c_cust_063_shop_0_1,2026-02-08 13:00,cust_063,acct_1063,75.92,USD,payment,Home Goods Co,GB,online
c_cust_064_cash_0,2026-02-08 13:00,cust_064,acct_1064,144.25,USD,cash_withdrawal,Self,AU,branch
c_cust_019_cash_0,2026-02-08 14:00,cust_019,acct_1019,318.56,USD,cash_withdrawal,Self,IN,branch
c_cust_024_util_0_1,2026-02-08 14:00,cust_024,acct_1024,148.17,USD,payment,City Utilities,SG,branch
c_cust_035_util_0_0,2026-02-08 15:00,cust_035,acct_1035,187.04,USD,payment,City Utilities,DE,mobile
c_cust_021_shop_0_3,2026-02-08 16:00,cust_021,acct_1021,140.99,USD,payment,Corner Pharmacy,PH,online
c_cust_062_util_0_0,2026-02-08 16:00,cust_062,acct_1062,104.53,USD,payment,Regional Electric Board,JP,mobile
c_cust_064_util_0_0,2026-02-08 16:00,cust_064,acct_1064,53.35,USD,payment,Gas & Power Ltd,AU,online
c_cust_047_shop_0_1,2026-02-08 17:00,cust_047,acct_1047,150.62,USD,payment,Superstore Retail,PH,online
c_cust_064_shop_0_0,2026-02-08 19:00,cust_064,acct_1064,146.32,USD,payment,Superstore Retail,AU,online
c_cust_036_util_0_1,2026-02-08 20:00,cust_036,acct_1036,148.99,USD,payment,City Utilities,DE,branch
c_cust_045_util_0_0,2026-02-08 21:00,cust_045,acct_1045,189.31,USD,payment,National Broadband Co,CA,mobile
c_cust_050_shop_0_0,2026-02-08 21:00,cust_050,acct_1050,30.28,USD,payment,Corner Pharmacy,FR,mobile
c_cust_051_shop_0_0,2026-02-09 10:00,cust_051,acct_1051,142.06,USD,payment,Corner Pharmacy,IT,mobile
c_cust_054_shop_0_1,2026-02-09 11:00,cust_054,acct_1054,151.61,USD,payment,Corner Pharmacy,KE,online
c_cust_066_util_0_0,2026-02-09 11:00,cust_066,acct_1066,67.82,USD,payment,National Broadband Co,MX,mobile
c_cust_037_shop_0_0,2026-02-09 12:00,cust_037,acct_1037,146.35,USD,payment,Online Marketplace,MX,online
c_cust_049_util_0_1,2026-02-09 12:00,cust_049,acct_1049,89.7,USD,payment,City Utilities,SE,online
c_cust_053_util_0_1,2026-02-09 12:00,cust_053,acct_1053,92.27,USD,payment,Mobile Telecom,KE,online
c_cust_050_util_0_1,2026-02-09 14:00,cust_050,acct_1050,62.31,USD,payment,City Utilities,FR,online
c_cust_066_util_0_1,2026-02-09 14:00,cust_066,acct_1066,209.74,USD,payment,Regional Electric Board,MX,branch
c_cust_018_shop_0_1,2026-02-09 15:00,cust_018,acct_1018,99.31,USD,payment,Superstore Retail,BR,mobile
c_cust_031_shop_0_1,2026-02-09 17:00,cust_031,acct_1031,29.84,USD,payment,Corner Pharmacy,IT,mobile
c_cust_026_shop_0_0,2026-02-09 18:00,cust_026,acct_1026,138.94,USD,payment,Corner Pharmacy,GB,mobile
c_cust_043_util_0_0,2026-02-09 18:00,cust_043,acct_1043,235.36,USD,payment,Metro Water Authority,IN,online
c_cust_061_shop_0_1,2026-02-09 18:00,cust_061,acct_1061,127.83,USD,payment,Corner Pharmacy,PH,online
c_cust_016_util_0_1,2026-02-09 19:00,cust_016,acct_1016,93.75,USD,payment,Mobile Telecom,AU,branch
c_cust_032_util_0_0,2026-02-09 19:00,cust_032,acct_1032,115.67,USD,payment,City Utilities,SE,branch
c_cust_052_util_0_0,2026-02-09 19:00,cust_052,acct_1052,30.49,USD,payment,City Utilities,SE,online
c_cust_026_util_0_0,2026-02-09 20:00,cust_026,acct_1026,202.54,USD,payment,Regional Electric Board,GB,mobile
c_cust_059_util_0_1,2026-02-10 08:00,cust_059,acct_1059,147.96,USD,payment,Metro Water Authority,KE,online
c_cust_040_shop_0_2,2026-02-10 09:00,cust_040,acct_1040,137.6,USD,payment,Corner Pharmacy,NG,mobile
c_cust_065_shop_0_0,2026-02-10 09:00,cust_065,acct_1065,154.96,USD,payment,Corner Pharmacy,NL,online
c_cust_019_util_0_0,2026-02-10 11:00,cust_019,acct_1019,183.49,USD,payment,Metro Water Authority,IN,online
c_cust_059_util_0_0,2026-02-10 13:00,cust_059,acct_1059,35.49,USD,payment,Gas & Power Ltd,KE,mobile
c_cust_061_shop_0_2,2026-02-10 13:00,cust_061,acct_1061,130.7,USD,payment,Superstore Retail,PH,online
c_cust_054_util_0_0,2026-02-10 14:00,cust_054,acct_1054,46.72,USD,payment,Mobile Telecom,KE,branch
c_cust_015_util_0_0,2026-02-10 15:00,cust_015,acct_1015,220.64,USD,payment,Regional Electric Board,NG,branch
c_cust_046_util_0_0,2026-02-10 16:00,cust_046,acct_1046,137.92,USD,payment,Gas & Power Ltd,NL,online
c_cust_057_util_0_0,2026-02-10 16:00,cust_057,acct_1057,191.17,USD,payment,Mobile Telecom,FR,online
c_cust_052_shop_0_2,2026-02-10 17:00,cust_052,acct_1052,49.57,USD,payment,Corner Pharmacy,SE,mobile
c_cust_052_shop_0_0,2026-02-10 20:00,cust_052,acct_1052,72.39,USD,payment,Online Marketplace,SE,online
c_cust_060_util_0_0,2026-02-11 08:00,cust_060,acct_1060,129.99,USD,payment,Gas & Power Ltd,AE,online
c_cust_063_shop_0_2,2026-02-11 09:00,cust_063,acct_1063,111.03,USD,payment,Online Marketplace,GB,mobile
c_cust_020_shop_0_0,2026-02-11 10:00,cust_020,acct_1020,80.35,USD,payment,Superstore Retail,IN,online
c_cust_032_shop_0_1,2026-02-11 10:00,cust_032,acct_1032,87.38,USD,payment,Superstore Retail,SE,online
c_cust_049_util_0_0,2026-02-11 10:00,cust_049,acct_1049,67.67,USD,payment,Regional Electric Board,SE,mobile
c_cust_031_util_0_0,2026-02-11 11:00,cust_031,acct_1031,208.74,USD,payment,Metro Water Authority,IT,branch
c_cust_038_util_0_0,2026-02-11 11:00,cust_038,acct_1038,95.2,USD,payment,Mobile Telecom,AU,online
